rank,brand,title,price,original_price,discount_rate,rating,review_count,url
1,샬랑 드 파리,"[럭키박스][15%쿠폰적용가:33,915원][정가564,600원 93%]다이아 글로우 럭키박스",39900,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000812901984
2,클라르하임,2026 봄 특집  리빙페어&렌쇼페,28700,,59,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000033221501
3,MOLLY'S,몰리스(Mollys) 배변패드 모음,19900,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000802611896
4,켈로그,인기 시리얼 할인,9980,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000440020581
5,스타벅스,[스타벅스+쓱7클럽]미니탱크 런칭 & 클리어런스,25000,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000554035457
6,CJ제일제당,[본사배송][냉장] 고메 함박스테이크 (함박5+치즈함박5),22900,,38,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000411272071
7,센텔리안24,[럭키박스] 마데카크림 베스트 50ml6개+투명광앰플30ml 1개+링클마스크팩 1박스(10매)+단독증정,50000,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000812831785
8,,코디 생필품 ~1+1,27800,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000304996494
9,,볶음밥/주먹밥/국탕류 등 ~2개50%,4606,,30,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000783480751
10,자연맛남,인기 제철먹거리 (망고/고구마/토마토/키위/오렌지 등),26900,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000551703694
11,전라도청년,저온압착 100%통참깨 청년참기름350ml x 2병 외,23550,,5,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000559747447
12,,[한국마즈]이클립스/비카인드 쓱새벽배송,2180,,24,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000632094733
13,입생로랑,[4월/SSG단독] 엉크르 드 뽀 쿠션 세트(+러브누드 립 미니어처 1호),92340,,10,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000564340864
14,샬랑 드 파리,[SSG단독] 샬랑 드 파리 럭셔리 뷰티템 ~90% 특가전,7900,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000686922772
15,감동,전남 고흥 거금도 햇양파 5kg 특 개당중량 300g내외 (요리용),7900,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000540290299
16,,[셀렉스] 프리미엄 단백질 프로틴 드링크/파우더 외 특가,24900,,32,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000623997137
17,EDITED,[신세계TV쇼핑] 지금 입기 좋은 패션 제안! 에디티드 外,71100,,10,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000780800559
18,순수식품,"최대 16% 즉시할인 쿠폰, 대표 건강식품 알파CD 증정 특가전!",28530,,10,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000624217448
19,SSG 바이어 엄선,부드럽고 고소한 연어 ~40% 특가,10384,,20,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000059669305
20,동구밭,"[럭키박스][15%쿠폰 적용가:15,895원] 세안 바디 헤어 7종 세트 (본품6+증정)",18700,,68,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000686585821
21,,티젠/담터/녹차원 아이스티/차 ~50% 할인,17980,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000815096484
22,디스커버리,남여공용 럭스 경량 하이킹 트레킹 운동화 DXSH4524N,63698,,14,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000732914001
23,입생로랑,[상품권] 올아워 블러 쿠션,98325,,5,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000808424311
24,,간편한 한끼 냉동 김밥 할인전,3980,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000682081721
25,,하동녹차 명란김,35982,,8,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000819380510
26,입생로랑,[4월/SSG단독] 올아워 블러 쿠션 세트(+러브누드 립 미니어처 1호),98325,,5,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000808426294
27,신세계푸드,"샌드위치, 시골김, 조선호텔김치, 삼계탕, 핫도그, 왕교자, 롤파운드 등 특가전",24900,,37,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000062588627
28,아디다스,[New Performance] 아디다스 런닝화 갤럭시7,44200,,15,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000597439129
29,메디트리,순 유기농 레몬즙 100 15포 10박스 총 150포,29900,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000793586912
30,NS홈쇼핑,명미당 제주오메기떡 60개[35307690],37798,,7,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000714160718
31,다농이네,[쓱7클럽]제주 카라향 3kg 15-20과 소과,16800,,15,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000816105387
32,동원,행사상품 4/16~,5980,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000587644490
33,CJ제일제당,[본사 무료배송] 햇반 특가 (백미/잡곡밥/솥반/컵반),19900,,60,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000753712605
34,설성목장,[상온] 설성목장  한돈 어린이 육포 (4-5개입) 25g,3430,,30,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000809126109
35,동원,[S]동원 리챔 오리지널 200g x 6개 + 더블라이트 200g x 2개,15200,,60,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000054498498
36,엘빈즈,우리아이 이유식 인기 간식/반찬/음료 모음전,25190,,6,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000062734437
37,온앤온,브랜드위크! 26SPRING 셀럽PICK ~50% + 다운로드 추가 5%,83486,,50,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000038488527
38,아디다스,ෆ2026러닝시작!ෆ 아디다스  오즈웨이브 외 신상아식스 최대64%할인!,55800,,7,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000022119340
39,CJ제일제당,[쓱7클럽][본사배송] 비비고 생선구이 (연어스테이크2+순살고등어구이2),19200,,35,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000817531476
101,페페브루노,[쓱7클럽][페페브루노] 엑스트라버진 올리브오일 1L,16700,,30,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000818407960
102,메이크업포에버,[한정/단독] 미스트 앤 픽스 100ml 1+1,37953,,15,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000718884751
103,STACCATO,압도적 혜택 최저가 도전! 슈즈MD 추천제안,61200,,81,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000788996603
104,동원,3만원 구매시 7천원 할인,4480,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000722727186
105,LINE,"[라인어디션] SPRING TO SUMMER SALE, 최대 75% + 쿠폰",41820,,67,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000034609976
106,에이스침대,[비밀특가][에이스침대] BEST 침대/매트리스 비밀특가,398520,,19,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000591302145
107,트래드후스,"[불라디,라팡슈 외] SS26 신규입고 불라디 린톤트위드 콜라보레이션으로 봄준비하기",41990,,35,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000580066378
